"category","unique_name","unique_id","format","sub_format","endianness"
"PARAMETER","IEEE802154_macCW",51276,"UINT32","","<"
"PARAMETER","IEEE802154_macMaxBE",329,"UINT8","","<"
"PARAMETER","IEEE802154_macMaxCSMABackoffs",18046,"UINT8","","<"
"PARAMETER","IEEE802154_mac_MaxFrameRetries",31757,"UINT8","","<"
"PARAMETER","IEEE802154_macMinBE",30025,"UINT8","","<"
"PARAMETER","IEEE802154_macPANId",35995,"UINT16","","<"
"PARAMETER","IEEE802154_macShortAddress",55909,"UINT16","","<"
"PARAMETER","IEEE802154_macExtendedAddress",4194,"UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8","","<"
"PARAMETER","IEEE802154_phy_CurrentChannel",51638,"UINT8","","<"
"PARAMETER","IEEE802154_phyTXPower",58914,"UINT8","","<"
"PARAMETER","IEEE802154e_macHoppingSequenceLength",22217,"UINT16","","<"
"PARAMETER","IEEE802154e_macHoppingSequenceList",58932,"UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8;UINT8","","<"
"PARAMETER","IEEE802154e_macSlotframeSize",42470,"UINT16","","<"
"PARAMETER","IEEE802154e_macTimeslot",34366,"UINT16;UINT16;UINT8;UINT8;UINT16","","<"
"PARAMETER","IEEE802154e_macTsTimeslotLength",61012,"UINT32","","<"
"PARAMETER","TAISC_ACTIVERADIOPROGRAM",28170,"UINT8","","<"
"MEASUREMENT","IEEE802154_MACSTATS",54859,"UINT32;UINT32;UINT32;UINT32;UINT32;UINT32;UINT32;UINT32;UINT32;UINT32;UINT16;UINT16","","<"
"EVENT","IEEE802154_event_macStats",54860,"UINT32;UINT32;UINT32;UINT32;UINT32;UINT32;UINT32;UINT32;UINT32;UINT32;UINT16;UINT16","","<"
"PARAMETER","taiscSlotList",20677,"UINT8","UINT8;UINT8;UINT8","<"
"PARAMETER","taiscSlotframe",31932,"UINT8;UINT8","UINT16;UINT16;UINT8;UINT8","<"
"PARAMETER","test",1000,"UINT16","","<"
