"category","unique_name","unique_id","format","sub_format","endianness"
"PARAMETER","RIME_exampleBroadcastSendInterval",19366,"UINT32_LE","","<"
"PARAMETER","RIME_exampleBroadcastActivateApplication",25439,"UINT8","","<"
"PARAMETER","RIME_exampleBroadcastMsgSize",57214,"UINT8","","<"
"PARAMETER","RIME_exampleUnicastSendInterval",19367,"UINT32_LE","","<"
"PARAMETER","RIME_exampleUnicastActivateApplication",25440,"UINT8","","<"
"PARAMETER","RIME_exampleUnicastMsgSize",57215,"UINT8","","<"
"PARAMETER","RIME_exampleUnicastReceiver",57217,"UINT16_LE","","<"
"PARAMETER","RIME_exampleUnicastSendIntervalBoundaries",17707,"II","","<"
"PARAMETER","RIME_audioAppActivateApplication",25494,"UINT8","","<"
"PARAMETER","RIME_audioAppPacketSize",25495,"UINT8","","<"
"PARAMETER","RIME_audioAppSampleRate",25496,"UINT16_LE","","<"
"PARAMETER","RIME_lightSensorAppActivateApplication",34507,"UINT8","","<"
"EVENT","RIME_appPerPacket_rxstats",57216,"HHIIIHHbB","","<"
"EVENT","RIME_event_lightSensorValue",24216,"HHHH","","<"
