"unique_name","unique_id","type","length","category","struct_format"
"RIME_exampleBroadcastSendInterval",19366,"UINT32_T",4,"PARAMETER",""
"RIME_exampleBroadcastActivateApplication",25439,"UINT8_T",1,"PARAMETER",""
"RIME_exampleBroadcastMsgSize",57214,"UINT8_T", 1,"PARAMETER",""
"RIME_exampleUnicastSendInterval",19367,"UINT32_T",4,"PARAMETER",""
"RIME_exampleUnicastActivateApplication",25440,"UINT8_T",1,"PARAMETER",""
"RIME_exampleUnicastMsgSize",57215,"UINT8_T", 1,"PARAMETER",""
"RIME_audioAppActivateApplication",25494,"UINT8_T",1,"PARAMETER",""
"RIME_audioAppPacketSize",25495,"UINT8_T",1,"PARAMETER",""
"RIME_audioAppSampleRate",25496,"UINT16_T",2,"PARAMETER",""
"RIME_lightSensorAppActivateApplication",34507,"UINT8_T",1,"PARAMETER",""
"RIME_appPerPacket_rxstats",57216,"STRUCT_T",22,"EVENT","u2,u2,u4,u4,u4,u2,u2,i1,u1"
"RIME_event_lightSensorValue",24216,"STRUCT_T",8,"EVENT","u2,u2,u2,u2"
