node_ident,radius,max_busy,busy_50,busy_90,max_idle,idle_50,idle_90,tx_neigh_G,tx_neigh_G2,rx_neigh_G,rx_neigh_G2,num_of_cliques_tx,nodes_in_cliques_tx,num_of_cliques_rx,nodes_in_cliques_rx,succ_norm_all,tx_norm_all,output
1,80,1,1,1,10.18,0.180000000000291,1.3599999999999,3,5,8,3,1,4,3,11,0,0.0879743250896734,1
2,80,1,1,1,28.2000000000007,1.16000000000076,2.41999999999916,3,4,4,4,1,4,1,4,0.827074908530714,0.92580706060034,3
3,80,14.02,1,2.13999999999987,9.26000000000022,0.120000000000005,0.600000000000364,6,10,6,7,4,12,3,10,0.0677835547852879,0.137436284689447,1
4,80,7.04000000000042,1,2.15999999999985,40.8399999999997,1.18000000000006,4.66000000000076,5,7,4,5,3,10,1,4,1,1,3
5,80,1,1,1,10.1799999999998,0.199999999998909,1.53999999999996,3,5,6,7,1,4,3,10,0.016368187945311,0.115159524259015,1
6,80,13.5200000000004,1,1.30000000000018,10.4799999999996,0.119999999999891,1.24000000000001,4,9,7,11,3,8,4,12,0.0194492586173695,0.102510855201057,1
7,80,1.00000000000011,1,1,12.0999999999999,0.119999999999891,1.18000000000029,3,2,5,2,1,4,2,7,0.19160408241864,0.301113838021522,2
8,80,7.78000000000065,1,2.11999999999898,48.46,0.219999999999345,1.5,4,5,5,6,2,6,2,6,0.116117850953206,0.278270719275061,2
9,80,6.80000000000018,1,1,6.38,0.0799999999999841,0.220000000000255,6,2,8,2,2,10,3,14,0.109378008858078,0.191617896922786,1
10,80,5.21999999999935,1,1.65999999999985,15.5,0.159999999999968,2.38000000000011,5,9,8,2,2,7,3,14,0,0.111006229941476,1
11,80,8.82000000000062,1,1.11999999999989,6.77999999999997,0.080000000000382,1.15999999999985,7,2,5,8,3,14,2,6,0.272482187560177,0.332452331508401,2
12,80,1.00000000000091,1,1,108.6,0.260000000000218,5.4399999999996,1,3,5,5,1,2,3,8,0.220296553052186,0.480271851991693,2
13,80,6.1200000000008,1,2.10000000000036,48.5,0.259999999999991,2.57999999999993,4,5,5,5,3,8,2,6,0.241671480839592,0.434963186709458,2
14,80,13.5799999999999,1,1.26000000000022,13.6399999999999,0.1400000000001,1.34000000000015,5,3,5,9,3,10,3,8,0.436164067013287,0.551255427600529,2
15,80,11.1999999999998,1,2.15999999999985,17.3800000000001,0.220000000000255,1.92000000000007,5,7,7,10,3,10,4,12,0.00134796841902561,0.0879743250896734,1
16,80,8.82000000000062,1,1.17999999999984,5.31999999999971,0.0999999999994543,1.20000000000005,7,2,7,3,3,14,2,10,0.322742152898132,0.423447234283557,2
17,80,8.53999999999996,1,2.07999999999998,18.6200000000001,0.299999999999955,2.61999999999989,6,11,6,10,4,12,3,10,0.00192566917003659,0.1155370964697,1
18,80,1.00000000000045,1,1,7.70000000000073,0.0800000000001546,0.279999999999973,5,2,7,2,1,6,2,10,0.137107644906605,0.23466112894091,2
19,80,8.73999999999978,1,2.23999999999978,24.5599999999995,0.240000000000236,2.30000000000018,4,6,5,9,2,6,3,8,0.025418833044483,0.139135359637531,1
20,80,6.88000000000102,1,1,5.62,0.0800000000000125,0.279999999999973,6,3,7,2,2,10,2,10,0.133448873483536,0.226920898621861,2
21,80,1.00000000000023,1,1,8.24000000000001,0.100000000000364,0.279999999999973,3,2,6,3,1,4,3,10,0.0697092239553245,0.1412120067963,1
22,80,1.00000000000023,1,1,83.9799999999996,0.559999999999491,10.0999999999999,2,4,5,5,1,3,2,6,0.292894280762565,0.555786294128752,2
23,80,1,1,1,11.6800000000003,0.100000000000023,1.26000000000022,5,2,6,2,1,6,1,6,0.450991719622569,0.562393807815745,2
24,80,100.48,1.07999999999993,12.02,3.55999999999995,0.0600000000004002,1.15999999999985,7,3,4,4,3,11,1,4,0.0849220103986135,0.106852935623938,1
25,80,9.30000000000018,1,1.15999999999985,38.6799999999998,0.279999999999745,3.60000000000036,4,7,7,11,3,9,4,12,0.131138070479492,0.343024353407589,2
